Freq,Ganhodb,GanhoV/V,GanhoRealdB,GanhoRealV/V,NovoValorV/V
10 Hz,"-75,35",17,"-78,41",12,"0,0009"
20 Hz,"-63,31",683,-58,"0,00125","0,0009"
30 Hz,"-56,28",153,"-57,13","0,00139","0,0094"
40 Hz,"-51,29","0,00272","-54,7",184,"0,0093"
50 Hz,"-47,43","0,00425","-53,85",203,"0,0091"
60 Hz,"-44,28",610,"-51,86",255,"0,0092"
70 Hz,"-41,62","0,00829",-49.81,323,"0,0094"
80 Hz,"-39,32",1.081,"-47,91",402,"0,0096"
90 Hz,"-37,3",1.364,"-45,66",521,"0,0097"
100 Hz,"-35,5",1.678,-44.35,606,"0,0098"
200 Hz,"-23,88",6.397,"-32,72","0,0231","0,019"
300 Hz,"-17,51","0,13319",-26.24,487,"0,038"
400 Hz,"-13,37","0,21453",-21.88,805,"0,67"
500 Hz,"-10,49","0,29888","-18,3","0,1215","0,102"
600 Hz,"-8,39","0,3806","-15,54",1.670,"0,139"
700 Hz,"-6,84","0,4549","-13,33",2.154,"0,18"
800 Hz,"-5,65","0,5217",-11.39,2.692,"0,221"
900 Hz,"-4,72",5.807,-10.15,3.107,"0,263"
1 kHz,-4,630,-8.33,383,"0,304"
2 kHz,"-1,19",8.719,-3.411,6.752,"0,617"
3 kHz,"-554,04m","0,986","-1,611",8.307,"0,768"
4 kHz,"-317,17m","0,3851",-1.093,8.817,"0,842"
5 kHz,"-206,49","0,7369",-0.71,9.205,"0,882"
6 kHz,"-145,31","0,4262",-0.5,944,"0,907"
7 kHz,"-108,7",6.728,"-0,41",953,"0,922"
8 kHz,"-84,59","0,8952",-0.37,958,"0,933"
9 kHz,"-67,97 ㏈","0,0003 v",-0.3 ㏈,0.965 v,"0,94"
10 kHz,"-56,11 ㏈","0,0015 v",-0.29 ㏈,0.967 v,"0,946"
20 kHz,"-18,28 ㏈","0,1218 v",-0.08 ㏈,0.990 v,"0,965"
30 kHz,"-11,64 ㏈","0,2618 v",-0.08 ㏈,0.990 v,"0,998"
40 kHz,"-9,79 ㏈","0,3239 v",0 ㏈,1 v,"0,999"
50 kHz,"-9,43 ㏈","0,3376 v",0 ㏈,1 v,"0,998"
60 kHz,"-9,8 ㏈","0,3235 v",0 ㏈,1 v,"0,986"
70 kHz,"-10,56 ㏈","0,2964 v",-0.087 ㏈,"0,990 v","0,943"
80 kHz,"-11,67 ㏈","0,2609 v","-1,156 ㏈","0,8753 v","0,9"
90 kHz,"-13,03 ㏈","0,2231 v","-1,442 ㏈",0.847 v,"0,862"
100 kHz,"-14,62 ㏈","0,1857 v","-18,217 ㏈",0.8108 v,"0,829"
