,Valores  reais 1 dia,
Frequencia,Ganho do filtro em dB,Ganho do Filtro em V/V
10 Hz,-78.41,0.00012
20 Hz,-58.0,0.00126
30 Hz,-57.13,0.00139
40 Hz,-54.70,0.00184
50 Hz,-53.85,0.00203
60 Hz,-51.86,0.00255
70 Hz,-49.81,0.00323
80 Hz,-47.91,0.00402
90 Hz,-45.66,0.00521
100 Hz,-44.35,0.00606
200 Hz,-32.72,0.0231
300 Hz,-26.24,0.0487
400 Hz,-21.88,0.0805
500 Hz,-18.30,0.1215
600 Hz,-15.54,0.1670
700 Hz,-13.33,0.2154
800 Hz,-11.39,0.2692
900 Hz,-10.15,0.3107
1  kHz,-8.33,0.383
2 kHz,-3.411,0.6752
3 kHz,-1.611,0.8307
4 kHz,-1.093,0.8817
5 kHz,-0.71,0.9205
6 kHz,-0.5,0.944
7 kHz,-0.41,0.953
8 kHz,-0.37,0.958
9 kHz,-0.3,0.965
10 kHz,-0.29,0.967
20 kHz,-0.08,0.990
30 kHz,-0.08,0.990
40 kHz,0,1
50 kHz,0,1
60 kHz,0,1
70 kHz,-0.087,0.990
80 kHz,-1.156,0.8753
90 kHz,-1.442,0.847
100 kHz,-18.217,0.8108
